4063	4901	1	1
13870	12450	1	1
5486	12082	1	1
16675	8118	1	1
753	11933	1	1
11389	11686	1	1
15741	9904	1	1
5052	635	1	1
9409	1817	1	1
5159	6899	1	1
8366	14217	1	1
14772	6189	1	1
5348	4230	1	1
15741	13200	1	1
4305	5451	1	1
9409	12524	1	1
3381	1173	1	1
6070	2046	1	1
6568	11909	1	1
2109	300	1	1
6070	4351	1	1
9506	16390	1	1
14368	8951	1	1
5159	7054	1	1
14393	67	1	1
6786	2216	1	1
10759	9836	1	1
11812	14556	1	1
3059	9863	1	1
4866	4048	1	1
16675	4604	1	1
211	3576	1	1
4866	10648	1	1
10759	4774	1	1
6786	13173	1	1
9602	10880	1	1
9680	16232	1	1
13870	15210	1	1
15541	8822	1	1
5600	10034	1	1
14855	11220	1	1
6786	5815	1	1
10483	13978	1	1
9608	3393	1	1
5485	13173	1	1
10283	14166	1	1
7673	15038	1	1
15235	5838	1	1
12922	1382	1	1
14855	5509	1	1
4305	3575	1	1
11623	1891	1	1
16122	10378	1	1
581	4311	1	1
1624	6267	1	1
4563	9154	1	1
6523	11987	1	1
5030	7186	1	1
5227	14259	1	1
3785	9864	1	1
12274	14555	1	1
5255	1758	1	1
3381	744	1	1
15541	6362	1	1
10216	13654	1	1
10742	4057	1	1
15847	8050	1	1
197	9491	1	1
3059	9836	1	1
8366	13099	1	1
11389	3315	1	1
16675	2382	1	1
11227	3586	1	1
14629	9344	1	1
14874	2189	1	1
4133	14403	1	1
16122	9366	1	1
6070	12076	1	1
5832	2266	1	1
5071	4046	1	1
2109	8433	1	1
9407	3607	1	1
6472	12973	1	1
3785	14066	1	1
8366	3588	1	1
7778	15407	1	1
11623	6	1	1
6070	5423	1	1
6472	1914	1	1
14243	4664	1	1
10721	11735	1	1
2574	2959	1	1
6472	16229	1	1
3785	3995	1	1
6070	4237	1	1
14243	13914	1	1
11073	1443	1	1
15744	15021	1	1
8531	5664	1	1
3381	10834	1	1
3059	5466	1	1
197	120	1	1
3059	6025	1	1
10483	9170	1	1
11073	15572	1	1
5617	5929	1	1
9409	15846	1	1
9608	7221	1	1
10216	5527	1	1
4556	2355	1	1
6074	10779	1	1
12922	8433	1	1
11083	14066	1	1
10143	1982	1	1
10322	2859	1	1
11812	1891	1	1
12922	14979	1	1
11243	10103	1	1
10742	3875	1	1
15755	692	1	1
12527	1547	1	1
15755	9517	1	1
3381	2095	1	1
3212	14142	1	1
3306	15451	1	1
14792	13275	1	1
15755	12673	1	1
10721	4079	1	1
5030	10931	1	1
15741	5487	1	1
15541	16117	1	1
5033	12011	1	1
6711	6558	1	1
4133	10101	1	1
11227	9307	1	1
2143	6892	1	1
16675	418	1	1
10322	6189	1	1
14855	16332	1	1
3785	13147	1	1
3785	2981	1	1
10216	15400	1	1
3785	12520	1	1
13870	16395	1	1
199	6996	1	1
10143	7566	1	1
5030	13173	1	1
5159	8	1	1
12274	15015	1	1
7778	16277	1	1
4305	10307	1	1
5420	3064	1	1
8366	3920	1	1
5071	3279	1	1
4866	53	1	1
10759	6217	1	1
10483	11361	1	1
14036	8425	1	1
3306	10349	1	1
5159	4348	1	1
14243	5466	1	1
2109	10544	1	1
15714	2486	1	1
14036	6938	1	1
12274	16238	1	1
14772	8372	1	1
14772	4251	1	1
10984	10314	1	1
8735	11060	1	1
9433	4154	1	1
15541	10931	1	1
14243	16237	1	1
1016	14359	1	1
5600	46	1	1
14036	4364	1	1
4063	6979	1	1
4305	6938	1	1
7331	2460	1	1
16675	3849	1	1
5255	6958	1	1
15755	15032	1	1
7169	15861	1	1
9434	14257	1	1
15744	5925	1	1
8721	4904	1	1
16675	8878	1	1
7778	15564	1	1
9647	3574	1	1
7169	10714	1	1
7009	12630	1	1
8735	2679	1	1
5033	77	1	1
9407	839	1	1
5030	4279	1	1
14036	1978	1	1
10759	5719	1	1
5617	701	1	1
7792	4130	1	1
10483	6368	1	1
15962	14640	1	1
15847	12294	1	1
4063	2207	1	1
11623	12635	1	1
7673	11547	1	1
14233	5956	1	1
7169	14295	1	1
6895	10884	1	1
4556	13200	1	1
15755	11262	1	1
581	15084	1	1
2143	8595	1	1
12799	16412	1	1
3381	14993	1	1
7169	6025	1	1
7337	6820	1	1
11623	1809	1	1
9433	16356	1	1
7169	6977	1	1
11812	7806	1	1
10984	11557	1	1
6786	4079	1	1
12274	5580	1	1
5030	3369	1	1
15541	12185	1	1
199	2416	1	1
15741	11543	1	1
5030	15426	1	1
3059	8440	1	1
11389	12524	1	1
6472	12181	1	1
5030	851	1	1
14777	11634	1	1
8735	13272	1	1
15755	12655	1	1
6551	2985	1	1
11812	8946	1	1
11083	15061	1	1
3306	9010	1	1
10742	2211	1	1
5033	12150	1	1
10516	13941	1	1
10721	15032	1	1
15541	2931	1	1
6860	4792	1	1
11389	7850	1	1
7331	15020	1	1
15744	16332	1	1
1016	9799	1	1
9506	15275	1	1
2109	13730	1	1
15744	426	1	1
9506	4582	1	1
14036	4543	1	1
14629	1726	1	1
8735	7566	1	1
10483	7216	1	1
581	13633	1	1
9601	14214	1	1
13870	4295	1	1
6860	9827	1	1
15962	7571	1	1
15744	9795	1	1
14855	10908	1	1
199	13118	1	1
14874	12085	1	1
11227	7216	1	1
5600	13640	1	1
4866	6859	1	1
10516	12662	1	1
11073	8866	1	1
5159	11818	1	1
14672	6322	1	1
11227	10040	1	1
7169	692	1	1
11331	16130	1	1
5052	4996	1	1
6070	11061	1	1
9602	2959	1	1
3370	13429	1	1
9680	7571	1	1
5420	16237	1	1
197	12294	1	1
581	4	1	1
5052	4892	1	1
5600	11675	1	1
7331	12698	1	1
14672	4745	1	1
16675	16333	1	1
11623	6921	1	1
10759	12076	1	1
10216	8621	1	1
10742	7011	1	1
11227	60	1	1
5600	5565	1	1
4655	11564	1	1
5600	14489	1	1
12922	2194	1	1
12527	13688	1	1
12546	12368	1	1
10984	14933	1	1
14036	2959	1	1
581	10820	1	1
15235	3866	1	1
3785	11398	1	1
5159	6106	1	1
197	14043	1	1
6711	9181	1	1
5227	16238	1	1
6070	15405	1	1
4866	8398	1	1
4133	15441	1	1
12527	4280	1	1
9680	2424	1	1
11623	1182	1	1
10322	10040	1	1
9601	6169	1	1
3235	1808	1	1
9608	6920	1	1
14874	3698	1	1
